Chemical,Type,Group,Notes
ETOXAZOLE,Insecticide,10B,
BACILLUS THURINGIENSIS,Insecticide,11A,
PROPARGITE,Insecticide,12C,
ALDICARB,Insecticide,1A,
BENDIOCARB,Insecticide,1A,
CARBARYL,Insecticide,1A,
CARBOFURAN,Insecticide,1A,
FORMETANATE,Insecticide,1A,
METHIOCARB,Insecticide,1A,
METHOMYL,Insecticide,1A,
OXAMYL,Insecticide,1A,
PIRIMICARB,Insecticide,1A,
PROPOXUR,Insecticide,1A,
THIODICARB,Insecticide,1A,
TRIAZAMATE,Insecticide,1A,
TRIMETHACARB,Insecticide,1A,
ACEPHATE,Insecticide,1B,
AZINPHOS-METHYL,Insecticide,1B,
CARBOPHENOTHION,Insecticide,1B,
CHLORETHOXYFOS,Insecticide,1B,
CHLORPYRIFOS,Insecticide,1B,
DEMETON,Insecticide,1B,
DIAZINON,Insecticide,1B,
DICROTOPHOS,Insecticide,1B,
DIMETHOATE,Insecticide,1B,
DISULFOTON,Insecticide,1B,
EPN,Insecticide,1B,
ETHION,Insecticide,1B,
ETHOPROPHOS,Insecticide,1B,
FENAMIPHOS,Insecticide,1B,
FENSULFOTHION,Insecticide,1B,
FONOFOS,Insecticide,1B,
ISAZOFOS,Insecticide,1B,
ISOFENPHOS,Insecticide,1B,
MALATHION,Insecticide,1B,
METHAMIDOPHOS,Insecticide,1B,
METHIDATHION,Insecticide,1B,
METHYL PARATHION,Insecticide,1B,
MEVINPHOS,Insecticide,1B,
MONOCROTOPHOS,Insecticide,1B,
NALED,Insecticide,1B,
OXYDEMETON-METHYL,Insecticide,1B,
PARATHION,Insecticide,1B,
PHORATE,Insecticide,1B,
PHOSALONE,Insecticide,1B,
PHOSMET,Insecticide,1B,
PHOSPHAMIDON,Insecticide,1B,
PROFENOFOS,Insecticide,1B,
SULPROFOS,Insecticide,1B,
TEBUPIRIMPHOS,Insecticide,1B,
TEMEPHOS,Insecticide,1B,
TERBUFOS,Insecticide,1B,
TRICHLORFON,Insecticide,1B,
HYDRAMETHYLNON,Insecticide,20A,
ACEQUINOCYL,Insecticide,20B,
BIFENAZATE,Insecticide,20D,
FENPYROXIMATE,Insecticide,21A,
TOLFENPYRAD,Insecticide,21A,
ROTENONE,Insecticide,21B,
INDOXACARB,Insecticide,22A,
CYFLUMETOFEN,Insecticide,25A,
DIENOCHLOR,Insecticide,2A,
ENDOSULFAN,Insecticide,2A,
LINDANE,Insecticide,2A,
FIPRONIL,Insecticide,2B,
ALPHA CYPERMETHRIN,Insecticide,3A,
BIFENTHRIN,Insecticide,3A,
CYFLUTHRIN,Insecticide,3A,
CYHALOTHRIN-GAMMA,Insecticide,3A,
CYHALOTHRIN-LAMBDA,Insecticide,3A,
CYPERMETHRIN,Insecticide,3A,
DELTAMETHRIN,Insecticide,3A,
ESFENVALERATE,Insecticide,3A,
FENPROPATHRIN,Insecticide,3A,
FENVALERATE,Insecticide,3A,
FLUCYTHRINATE,Insecticide,3A,
FLUVALINATE,Insecticide,3A,
FLUVALINATE TAU,Insecticide,3A,
FLUVALINATE-TAU,Insecticide,3A,
PERMETHRIN,Insecticide,3A,
PYRETHRINS,Insecticide,3A,
RESMETHRIN,Insecticide,3A,
TEFLUTHRIN,Insecticide,3A,
TRALOMETHRIN,Insecticide,3A,
ZETA-CYPERMETHRIN,Insecticide,3A,
METHOXYCHLOR,Insecticide,3B,
ACETAMIPRID,Insecticide,4A,
CLOTHIANIDIN,Insecticide,4A,
DINOTEFURAN,Insecticide,4A,
IMIDACLOPRID,Insecticide,4A,
THIACLOPRID,Insecticide,4A,
THIAMETHOXAM,Insecticide,4A,
SULFOXAFLOR,Insecticide,4C,
FLUPYRADIFURONE,Insecticide,4D,
KINOPRENE,Insecticide,7A,
FENOXYCARB,Insecticide,7B,
PYRIPROXYFEN,Insecticide,7C,
CHLOROPICRIN,Insecticide,8B,
CRYOLITE,Insecticide,8C,
DAZOMET,Insecticide,8F,
METAM,Insecticide,8F,
PYMETROZINE,Insecticide,9B,
BEAUVERIA BASSIANA,Insecticide,biological,
CHROMOBACTERIUM SUBTSUGAE,Insecticide,biological,
ISARIA FUMOSOROSEA,Insecticide,biological,
NOSEMA LOCUSTAE CANN,Insecticide,biological,
POLYHEDROSIS VIRUS,Insecticide,biological,
STEINERNEMA CARPOCAP,Insecticide,biological,
STEINERNEMA RIOBRAVI,Insecticide,biological,
AZADIRACHTIN,Insecticide,Unknown,
DICOFOL,Insecticide,Unknown,
NEEM OIL,Insecticide,Unknown,
CALCIUM POLYSULFIDE,Insecticide,,insecticidal
CHLORDIMEFORM,Insecticide,,
CHLOROBENZILATE,Insecticide,,
CINNAMALDEHYDE,Insecticide,,
FENBUTATIN OXIDE,Insecticide,,
GARLIC JUICE,Insecticide,,
KAOLIN CLAY,Insecticide,,
LEAD ARSENATE,Insecticide,,
METALDEHYDE,Insecticide,,insecticidal
NAPTHA,Insecticide,,
PETROLEUM DISTILLATE,Insecticide,,
PETROLEUM OIL,Insecticide,,
SABADILLA,Insecticide,,
SODIUM ARSENITE,Insecticide,,
SUCROSE OCTANOATE,Insecticide,,
TETRATHIOCARBONATE,Insecticide,,
ALLYL ISOTHIOCYANATE,Nematicide,,
DICHLOROPROPENE,Nematicide,,
DIMETHYL DISULFIDE,Nematicide,,
FLUENSULFONE,Nematicide,,
METAM POTASSIUM,Nematicide,,
METHYL BROMIDE,Nematicide,,broadly toxic
METHYL IODIDE,Nematicide,,
METHYL ISOTHIOCYANATE,Nematicide,,
MYROTHECIUM VERRUCARIA,Nematicide,,
PAECILOMYCES LILACINUS,Nematicide,,
PASTEURIA NISHIZAWAE,Nematicide,,
1-METHYL CYCLOPROPENE,PlantGrowthRegulator,,
6-BENZYLADENINE,PlantGrowthRegulator,,
ABSCISIC ACID,PlantGrowthRegulator,,
AVIGLYCINE,PlantGrowthRegulator,,
CHLORMEQUAT,PlantGrowthRegulator,,
CPPU,PlantGrowthRegulator,,
CYANAMIDE,PlantGrowthRegulator,,
CYCLANILIDE,PlantGrowthRegulator,,
CYTOKININ,PlantGrowthRegulator,,
DAMINOZIDE,PlantGrowthRegulator,,
ETHEPHON,PlantGrowthRegulator,,
FLUMETRALIN,PlantGrowthRegulator,,
GAMMA AMINOBUTYRIC ACID,PlantGrowthRegulator,,
GIBBERELLIC ACID,PlantGrowthRegulator,,
HYDROXYPROPANOIC ACID,PlantGrowthRegulator,,
IBA,PlantGrowthRegulator,,
INDOLYL-BUTYRIC ACID,PlantGrowthRegulator,,
L-GLUTAMIC ACID,PlantGrowthRegulator,,
MALEIC HYDRAZIDE,PlantGrowthRegulator,,
MEFLUIDIDE,PlantGrowthRegulator,,
MEPIQUAT,PlantGrowthRegulator,,
NAPHTHYLACETAMIDE,PlantGrowthRegulator,,
NAPHTHYLACETIC ACID,PlantGrowthRegulator,,
PELARGONIC ACID,PlantGrowthRegulator,,
PROHEXADIONE,PlantGrowthRegulator,,
PROHYDROJASMON,PlantGrowthRegulator,,
TRIBUFOS,PlantGrowthRegulator,,
TRINEXAPAC,PlantGrowthRegulator,,
UNICONAZOLE,PlantGrowthRegulator,,
PIPERONYL BUTOXIDE,Synergist,,
ASPERGILLUS FLAVUS,,,
AUREOBASIDIUM PULLULANS,,,
BACILLUS CEREUS,,,
BACILLUS FIRMUS,,,
BACILLUS MYCOIDES,,,
BACILLUS SUBTILIS,,,
BACTERIOPHAGE,,,
BURKHOLDERIA SPP,,,
CHENOPODIUM AMBROSIOIDES,,,
COLLECTOTRICHUM SPORES,,,
CYDIA POMONELLA,,,
